28,ἀ,5345
61,Ἀ,799
57,ἄ,1087
121,Ἄ,123
118,ἂ,133
115,ἁ,146
109,ἅ,211
26,ά,5853
30,ὰ,4961
69,ᾶ,600
83,ᾳ,374
17,ἐ,9957
107,Ἐ,211
44,ἔ,2312
62,ἑ,754
114,Ἑ,152
86,ἕ,331
21,έ,8185
38,ὲ,3699
98,ἠ,259
101,ἤ,254
82,ἢ,414
73,ἦ,512
55,ἡ,1320
128,Ἡ,104
119,ἥ,130
43,ή,2799
117,ῄ,134
40,ὴ,3287
41,ῆ,3004
66,ῇ,623
67,ῃ,622
46,ἰ,1831
77,Ἰ,459
80,ἴ,432
64,ἶ,632
54,ἱ,1459
99,ἵ,259
126,ἳ,109
111,ἷ,161
16,ί,10456
19,ὶ,8722
39,ῖ,3517
78,ὀ,450
102,ὄ,250
47,ὁ,1825
125,Ὁ,110
51,ὅ,1633
25,ό,5854
31,ὸ,4925
60,Ῥ,827
34,ὐ,3977
105,ὔ,237
87,ὖ,321
52,ὑ,1632
93,ὕ,281
35,ύ,3976
48,ὺ,1803
33,ῦ,3977
123,ὠ,118
68,ὡ,618
124,ὥ,117
122,ὧ,121
50,ώ,1746
84,ὼ,362
36,ῶ,3891
59,ῷ,904
63,ῳ,696
